StatZone,Street,HouseNum,Year,Month,Day,DayWeek,CrimeType,CrimeLocType
611,דמה,דמה,2011.0,4.0,12.0,3.0,עבירות כלפי הרכוש,תחנת דלק         
611,דמה,דמה,2011.0,4.0,12.0,3.0,עבירות מרמה,תחנת דלק         
611,דמה,דמה,2010.0,4.0,26.0,2.0,עבירות סדר ציבורי,שטח/מבנה צבאי    
611,דמה,דמה,2014.0,8.0,24.0,1.0,עבירות כלפי הרכוש,רכב פרטי         
611,דמה,דמה,2011.0,7.0,6.0,4.0,עבירות כלפי המוסר,רכב מנועי אחר    
611,דמה,דמה,2010.0,3.0,1.0,2.0,עבירות כלפי הרכוש,רכב מנועי אחר    
611,דמה,דמה,2015.0,6.0,20.0,7.0,עבירות סדר ציבורי,רכב מנועי אחר    
611,דמה,דמה,2015.0,6.0,20.0,7.0,עבירות כלפי הרכוש,רכב מנועי אחר    
611,דמה,דמה,2012.0,5.0,27.0,1.0,עבירות כלפי המוסר,רכב מנועי אחר    
611,דמה,דמה,2010.0,3.0,3.0,4.0,עבירות סדר ציבורי,רכב מנועי אחר    
611,דמה,דמה,2010.0,3.0,3.0,4.0,עבירות כלפי הרכוש,רכב מנועי אחר    
611,דמה,דמה,2010.0,3.0,3.0,4.0,שאר עבירות,רכב מנועי אחר    
611,דמה,דמה,2012.0,12.0,13.0,5.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2013.0,12.0,8.0,1.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2015.0,12.0,2.0,4.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2015.0,12.0,2.0,4.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2013.0,11.0,17.0,1.0,עבירות רשוי,רחוב             
611,דמה,דמה,2011.0,11.0,29.0,3.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2014.0,11.0,8.0,7.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2011.0,11.0,28.0,2.0,עבירות כלפי המוסר,רחוב             
611,דמה,דמה,2010.0,12.0,20.0,2.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2010.0,12.0,10.0,6.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2010.0,12.0,4.0,7.0,עבירות כלפי המוסר,רחוב             
611,דמה,דמה,2015.0,10.0,9.0,6.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2015.0,10.0,9.0,6.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2010.0,10.0,26.0,3.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2012.0,10.0,5.0,6.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2011.0,9.0,28.0,4.0,עבירות כלפי המוסר,רחוב             
611,דמה,דמה,2010.0,10.0,16.0,7.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2014.0,8.0,13.0,4.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2010.0,9.0,13.0,2.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2015.0,8.0,5.0,4.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2015.0,7.0,25.0,7.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2011.0,7.0,6.0,4.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2012.0,6.0,23.0,7.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2013.0,6.0,5.0,4.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2013.0,6.0,5.0,4.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2012.0,6.0,7.0,5.0,עבירות כלפי המוסר,רחוב             
611,דמה,דמה,2012.0,5.0,25.0,6.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2012.0,5.0,25.0,6.0,עבירות רשוי,רחוב             
611,דמה,דמה,2015.0,5.0,18.0,2.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2011.0,5.0,27.0,6.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2011.0,5.0,27.0,6.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2013.0,5.0,1.0,4.0,עבירות כלפי המוסר,רחוב             
611,דמה,דמה,2013.0,4.0,27.0,7.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2012.0,4.0,28.0,7.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2015.0,3.0,31.0,3.0,עבירות כלפי המוסר,רחוב             
611,דמה,דמה,2013.0,1.0,22.0,3.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2011.0,12.0,22.0,5.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2010.0,12.0,27.0,2.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2010.0,1.0,1.0,6.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2013.0,12.0,6.0,6.0,עבירות בטחון,רחוב             
611,דמה,דמה,2013.0,11.0,17.0,1.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2015.0,11.0,22.0,1.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2015.0,11.0,22.0,1.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2011.0,12.0,4.0,1.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2014.0,11.0,11.0,3.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2011.0,11.0,29.0,3.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2012.0,11.0,8.0,5.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2013.0,10.0,17.0,5.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2010.0,11.0,17.0,4.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2015.0,10.0,9.0,6.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2011.0,10.0,18.0,3.0,עבירות כלפי המוסר,רחוב             
611,דמה,דמה,2011.0,10.0,17.0,2.0,עבירות סדר ציבורי,רחוב             
611,דמה,דמה,2012.0,10.0,5.0,6.0,עבירות כלפי הרכוש,רחוב             
611,דמה,דמה,2012.0,10.0,5.0,6.0,עבירות רשוי,רחוב             
611,דמה,דמה,2015.0,9.0,14.0,2.0,עבירות נגד גוף,רחוב             
611,דמה,דמה,2015.0,9.0,5.0,7.0,עבירות כלפי המוסר,רחוב             
